stim_type,target_talker,target_sentence,target_alt_rate,target_init_position,masker1_talker,masker1_sentence,masker1_alt_rate,masker1_init_position,masker2_talker,masker2_sentence,masker2_alt_rate,masker2_init_position
SOS,1M,Sue found three big bags,2.0,90.0,4M,Jill sold nine cheap socks,2.0,90.0,10M,Mike held five hot toys,2.0,-90.0
SOS,3M,Sue found three big bags,2.0,-90.0,9M,Pat gave six cheap shoes,2.0,-90.0,7M,Jane took five old toys,2.0,90.0
SOS,4M,Sue bought four small gloves,2.0,-90.0,3M,Jill gave two hot pens,2.0,-90.0,11M,Lynn lost nine new toys,2.0,90.0
SOS,4M,Sue held eight hot shoes,2.0,90.0,10M,Jane found nine old socks,2.0,90.0,3M,Sam bought five big cards,2.0,-90.0
SOS,10M,Sue gave five red shoes,2.0,-90.0,9M,Jane held eight cheap pens,2.0,-90.0,4M,Jill lost four small hats,2.0,90.0
SOS,8M,Sue took nine green hats,2.0,-90.0,2M,Lynn saw five new pens,2.0,-90.0,10M,Jill gave ten big cards,2.0,90.0
SOS,7M,Sue lost eight big socks,2.0,90.0,2M,Mike gave ten cheap cards,2.0,90.0,8M,Bob held three small pens,2.0,-90.0
SOS,7M,Sue held two cheap socks,2.0,-90.0,4M,Bob took eight red toys,2.0,-90.0,3M,Pat sold nine old gloves,2.0,90.0
SOS,10M,Sue bought four old pens,2.0,90.0,3M,Bob took ten big bags,2.0,90.0,8M,Lynn gave six small hats,2.0,-90.0
SOS,9M,Sue lost six small bags,2.0,-90.0,2M,Sam took ten red shoes,2.0,-90.0,11M,Jane held two cheap gloves,2.0,90.0
SOS,10M,Sue sold four green shoes,2.0,90.0,5M,Jane found ten hot gloves,2.0,90.0,4M,Lynn bought three cheap hats,2.0,-90.0
SOS,8M,Sue saw ten old hats,2.0,90.0,3M,Lynn bought eight new bags,2.0,90.0,9M,Jane lost nine cheap toys,2.0,-90.0
SOS,11M,Sue took ten old toys,2.0,90.0,2M,Lynn saw five new hats,2.0,90.0,1M,Sam held three green pens,2.0,-90.0
SOS,7M,Sue found three red socks,2.0,-90.0,8M,Mike lost two big bags,2.0,-90.0,2M,Jane gave eight new toys,2.0,90.0
SOS,7M,Sue saw three cheap pens,2.0,90.0,1M,Bob held ten new toys,2.0,90.0,8M,Sam gave four big socks,2.0,-90.0
SOS,9M,Sue held six small socks,2.0,90.0,2M,Bob saw ten green bags,2.0,90.0,8M,Pat sold three old pens,2.0,-90.0
SOS,11M,Sue held nine small cards,2.0,90.0,4M,Bob lost six hot toys,2.0,90.0,7M,Lynn gave three red gloves,2.0,-90.0
SOS,9M,Sue lost eight new pens,2.0,90.0,11M,Bob gave two old hats,2.0,90.0,5M,Sam bought nine red gloves,2.0,-90.0
SOS,1M,Sue found eight small cards,2.0,90.0,10M,Bob sold five hot toys,2.0,90.0,11M,Mike took six green socks,2.0,-90.0
SOS,7M,Sue bought eight old bags,2.0,-90.0,10M,Bob found nine cheap cards,2.0,-90.0,11M,Jane lost six hot pens,2.0,90.0
SOS,1M,Sue took ten big cards,2.0,90.0,9M,Pat bought four hot pens,2.0,90.0,11M,Lynn sold three green socks,2.0,-90.0
SOS,1M,Sue held ten hot gloves,2.0,-90.0,10M,Bob lost three new pens,2.0,-90.0,7M,Jill found five old socks,2.0,90.0
SOS,4M,Sue took two big gloves,2.0,-90.0,2M,Jill found five small cards,2.0,-90.0,7M,Pat lost four hot shoes,2.0,90.0
SOS,9M,Sue took ten small socks,2.0,-90.0,4M,Pat gave five new gloves,2.0,-90.0,1M,Jane held six hot cards,2.0,90.0
SOS,2M,Sue held four small pens,2.0,-90.0,3M,Bob gave ten big gloves,2.0,-90.0,8M,Jill lost three green socks,2.0,90.0
SOS,4M,Sue held five green shoes,2.0,90.0,11M,Jane lost eight big socks,2.0,90.0,7M,Sam saw four cheap cards,2.0,-90.0
SOS,3M,Sue lost eight green gloves,2.0,90.0,1M,Mike saw four hot toys,2.0,90.0,7M,Jill held five new bags,2.0,-90.0
SOS,7M,Sue saw five new cards,2.0,-90.0,11M,Mike took nine big shoes,2.0,-90.0,3M,Jill bought four small pens,2.0,90.0
SOS,7M,Sue sold ten red bags,2.0,90.0,1M,Bob found six old toys,2.0,90.0,10M,Mike bought three new cards,2.0,-90.0
SOS,9M,Sue saw five hot pens,2.0,90.0,3M,Pat found six green socks,2.0,90.0,11M,Lynn lost three big bags,2.0,-90.0
SOS,8M,Sue found eight red hats,2.0,90.0,7M,Lynn held four old shoes,2.0,90.0,9M,Pat took six cheap pens,2.0,-90.0
SOS,2M,Sue held four old cards,2.0,-90.0,7M,Mike saw ten cheap hats,2.0,-90.0,4M,Lynn gave eight small toys,2.0,90.0
SOS,8M,Sue lost six small hats,2.0,-90.0,9M,Lynn gave three hot shoes,2.0,-90.0,10M,Mike bought two old socks,2.0,90.0
SOS,5M,Sue bought nine cheap toys,2.0,-90.0,11M,Mike found four red pens,2.0,-90.0,2M,Jane lost three old bags,2.0,90.0
SOS,5M,Sue held nine cheap toys,2.0,-90.0,9M,Mike took two red pens,2.0,-90.0,10M,Jill sold three small bags,2.0,90.0
SOS,8M,Sue found five green cards,2.0,-90.0,3M,Jill held eight big gloves,2.0,-90.0,4M,Sam saw three old shoes,2.0,90.0
SOS,10M,Sue saw four new socks,2.0,-90.0,11M,Jane held six red shoes,2.0,-90.0,4M,Pat sold three green gloves,2.0,90.0
SOS,9M,Sue sold eight red pens,2.0,-90.0,4M,Jane saw two big gloves,2.0,-90.0,10M,Pat took four small cards,2.0,90.0
SOS,2M,Sue held nine hot cards,2.0,90.0,5M,Lynn lost three red pens,2.0,90.0,11M,Pat saw five old toys,2.0,-90.0
SOS,2M,Sue sold five hot shoes,2.0,-90.0,8M,Bob bought ten big hats,2.0,-90.0,10M,Lynn found nine cheap cards,2.0,90.0
SOS,8M,Sue saw four hot cards,2.0,-90.0,10M,Lynn found six old socks,2.0,-90.0,5M,Sam gave nine big hats,2.0,90.0
SOS,10M,Sue gave three hot socks,2.0,90.0,3M,Pat held ten red hats,2.0,90.0,11M,Jane took nine big cards,2.0,-90.0
SOS,11M,Sue sold five red bags,2.0,-90.0,10M,Bob bought two old pens,2.0,-90.0,7M,Pat found eight new shoes,2.0,90.0
SOS,5M,Sue held ten small socks,2.0,-90.0,11M,Sam gave two hot shoes,2.0,-90.0,3M,Jill bought five new hats,2.0,90.0
SOS,2M,Sue lost five new shoes,2.0,-90.0,8M,Jane found three red cards,2.0,-90.0,5M,Sam bought two cheap toys,2.0,90.0
SOS,11M,Sue sold five big bags,2.0,90.0,10M,Bob gave three small shoes,2.0,90.0,9M,Lynn saw six green hats,2.0,-90.0
SOS,11M,Sue gave ten cheap bags,2.0,90.0,1M,Sam found three green toys,2.0,90.0,2M,Pat took four small cards,2.0,-90.0
SOS,9M,Sue gave eight hot toys,2.0,90.0,10M,Mike lost four small bags,2.0,90.0,7M,Jane took three big cards,2.0,-90.0
SOS,2M,Sue bought ten hot hats,2.0,90.0,1M,Jill took nine old bags,2.0,90.0,11M,Sam sold two big pens,2.0,-90.0
SOS,10M,Sue sold nine green socks,2.0,90.0,8M,Jane took ten red hats,2.0,90.0,3M,Pat found three hot toys,2.0,-90.0
SOS,2M,Sue lost two red cards,2.0,-90.0,9M,Sam held eight small pens,2.0,-90.0,4M,Jill sold ten green socks,2.0,90.0
SOS,5M,Sue found three big shoes,2.0,90.0,7M,Jane lost two small socks,2.0,90.0,8M,Bob took five cheap toys,2.0,-90.0
SOS,4M,Sue lost four green hats,2.0,-90.0,10M,Lynn held two small bags,2.0,-90.0,2M,Bob took ten big socks,2.0,90.0
SOS,9M,Sue lost nine hot shoes,2.0,90.0,4M,Mike held three big socks,2.0,90.0,1M,Jane sold five small cards,2.0,-90.0
SOS,11M,Sue took four new socks,2.0,90.0,7M,Lynn saw six hot gloves,2.0,90.0,8M,Sam held three cheap shoes,2.0,-90.0
SOS,11M,Sue sold eight cheap gloves,2.0,-90.0,4M,Pat bought two old hats,2.0,-90.0,9M,Jill saw three new toys,2.0,90.0
SOS,5M,Sue sold six red shoes,2.0,90.0,2M,Sam lost ten big toys,2.0,90.0,1M,Jane took five small cards,2.0,-90.0
SOS,1M,Sue found nine new bags,2.0,-90.0,4M,Pat bought three big gloves,2.0,-90.0,5M,Lynn took six green cards,2.0,90.0
SOS,3M,Sue found nine hot toys,2.0,90.0,9M,Lynn gave four green pens,2.0,90.0,1M,Mike sold three cheap cards,2.0,-90.0
SOS,11M,Sue bought nine big gloves,2.0,90.0,5M,Jill found four old pens,2.0,90.0,10M,Lynn sold two hot toys,2.0,-90.0
SOS,10M,Sue found four green shoes,2.0,-90.0,11M,Jane saw ten small cards,2.0,-90.0,5M,Sam bought eight new hats,2.0,90.0
SOS,5M,Sue bought five hot shoes,2.0,90.0,8M,Bob held eight small socks,2.0,90.0,10M,Lynn found nine new toys,2.0,-90.0
SOS,2M,Sue bought nine small pens,2.0,-90.0,4M,Lynn found two cheap toys,2.0,-90.0,9M,Mike saw five hot cards,2.0,90.0
SOS,2M,Sue took five old gloves,2.0,90.0,8M,Bob sold nine hot cards,2.0,90.0,3M,Jane found ten green shoes,2.0,-90.0
SOS,10M,Sue bought two hot shoes,2.0,90.0,7M,Jane sold four big toys,2.0,90.0,11M,Mike gave eight old pens,2.0,-90.0
SOS,1M,Sue held six new gloves,2.0,-90.0,8M,Sam lost nine small shoes,2.0,-90.0,9M,Mike took eight hot bags,2.0,90.0
SOS,3M,Sue found six old cards,2.0,-90.0,11M,Sam sold four big toys,2.0,-90.0,2M,Jill took three small hats,2.0,90.0
SOS,8M,Sue took eight old hats,2.0,90.0,2M,Jane bought two big bags,2.0,90.0,7M,Sam held four cheap toys,2.0,-90.0
SOS,11M,Sue lost three new pens,2.0,90.0,9M,Lynn saw ten small shoes,2.0,90.0,7M,Bob gave two big cards,2.0,-90.0
SOS,7M,Sue lost eight big bags,2.0,90.0,5M,Lynn gave nine green gloves,2.0,90.0,10M,Pat found five cheap socks,2.0,-90.0
SOS,10M,Sue lost four old socks,2.0,90.0,9M,Pat held six new toys,2.0,90.0,7M,Sam bought two hot hats,2.0,-90.0
SOS,3M,Sue took eight small shoes,2.0,90.0,11M,Pat held three cheap bags,2.0,90.0,10M,Sam gave four hot toys,2.0,-90.0
SOS,5M,Sue sold four old bags,2.0,-90.0,2M,Mike found two hot toys,2.0,-90.0,3M,Bob saw five red shoes,2.0,90.0
SOS,2M,Sue lost three big pens,2.0,-90.0,4M,Jane bought six cheap toys,2.0,-90.0,5M,Lynn saw nine red gloves,2.0,90.0
SOS,3M,Sue took two green socks,2.0,90.0,5M,Sam sold ten cheap bags,2.0,90.0,8M,Lynn saw four hot cards,2.0,-90.0
SOS,2M,Sue gave eight big shoes,2.0,-90.0,10M,Sam took four red hats,2.0,-90.0,4M,Jane saw six new pens,2.0,90.0
SOS,9M,Sue sold six small gloves,2.0,-90.0,2M,Lynn took ten hot toys,2.0,-90.0,10M,Mike found three new socks,2.0,90.0
SOS,9M,Sue lost five new pens,2.0,90.0,4M,Pat gave four small toys,2.0,90.0,2M,Lynn bought ten cheap bags,2.0,-90.0
